2022-02-10 15:43:54.908504 Humidity: 24.5 %rH, Temperature: 25.29 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:44:57.033753 Humidity: 24.5 %rH, Temperature: 25.29 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:45:59.576176 Humidity: 24.5 %rH, Temperature: 25.29 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:47:01.663159 Humidity: 24.5 %rH, Temperature: 25.28 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:48:03.754585 Humidity: 24.5 %rH, Temperature: 25.28 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:49:05.868331 Humidity: 24.5 %rH, Temperature: 25.28 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:50:08.423569 Humidity: 24.5 %rH, Temperature: 25.28 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:51:12.018965 Humidity: 24.5 %rH, Temperature: 25.28 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:52:14.158093 Humidity: 24.5 %rH, Temperature: 25.27 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:53:16.255683 Humidity: 24.5 %rH, Temperature: 25.27 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:54:18.313554 Humidity: 24.5 %rH, Temperature: 25.27 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:55:20.413957 Humidity: 24.5 %rH, Temperature: 25.27 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:56:22.959234 Humidity: 24.5 %rH, Temperature: 25.27 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:57:25.109316 Humidity: 24.5 %rH, Temperature: 25.26 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 15:58:27.209496 Humidity: 24.5 %rH, Temperature: 25.26 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 15:59:29.344971 Humidity: 24.5 %rH, Temperature: 25.26 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:00:31.926506 Humidity: 24.5 %rH, Temperature: 25.26 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:01:34.021776 Humidity: 24.5 %rH, Temperature: 25.25 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:02:36.110493 Humidity: 24.5 %rH, Temperature: 25.25 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:03:38.348420 Humidity: 24.5 %rH, Temperature: 25.25 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:04:40.397452 Humidity: 24.5 %rH, Temperature: 25.25 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:05:42.531540 Humidity: 24.5 %rH, Temperature: 25.25 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:06:44.675402 Humidity: 24.5 %rH, Temperature: 25.22 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:07:46.768196 Humidity: 24.5 %rH, Temperature: 25.22 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:08:48.849650 Humidity: 24.5 %rH, Temperature: 25.22 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:09:51.014666 Humidity: 24.5 %rH, Temperature: 25.22 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:10:53.135038 Humidity: 24.5 %rH, Temperature: 25.22 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:11:55.284209 Humidity: 24.5 %rH, Temperature: 25.2 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:12:57.964564 Humidity: 24.5 %rH, Temperature: 25.2 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:14:00.068357 Humidity: 24.5 %rH, Temperature: 25.2 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:15:02.118301 Humidity: 24.5 %rH, Temperature: 25.2 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:16:04.242417 Humidity: 24.5 %rH, Temperature: 25.2 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:17:06.406559 Humidity: 24.5 %rH, Temperature: 25.18 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:18:08.484060 Humidity: 24.5 %rH, Temperature: 25.18 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:19:12.018280 Humidity: 24.5 %rH, Temperature: 25.18 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:20:14.084661 Humidity: 24.5 %rH, Temperature: 25.18 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:21:16.208471 Humidity: 24.5 %rH, Temperature: 25.18 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:22:18.403885 Humidity: 24.5 %rH, Temperature: 25.16 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:23:20.526073 Humidity: 24.5 %rH, Temperature: 25.16 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:24:22.762929 Humidity: 24.5 %rH, Temperature: 25.16 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:25:25.397979 Humidity: 24.5 %rH, Temperature: 25.16 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:26:27.438804 Humidity: 24.5 %rH, Temperature: 25.16 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:27:29.591953 Humidity: 24.5 %rH, Temperature: 25.15 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:28:31.608044 Humidity: 24.5 %rH, Temperature: 25.15 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:29:33.715375 Humidity: 24.5 %rH, Temperature: 25.15 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:30:35.759995 Humidity: 24.5 %rH, Temperature: 25.15 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:31:37.956092 Humidity: 24.5 %rH, Temperature: 25.13 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:32:41.129844 Humidity: 24.5 %rH, Temperature: 25.13 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:33:43.637279 Humidity: 24.5 %rH, Temperature: 25.13 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:34:45.754455 Humidity: 24.5 %rH, Temperature: 25.13 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:35:47.833271 Humidity: 24.5 %rH, Temperature: 25.13 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:36:51.958232 Humidity: 24.5 %rH, Temperature: 25.12 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:37:53.985784 Humidity: 24.5 %rH, Temperature: 25.12 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:38:56.073006 Humidity: 24.5 %rH, Temperature: 25.12 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:39:59.611815 Humidity: 24.5 %rH, Temperature: 25.12 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:41:01.674536 Humidity: 24.5 %rH, Temperature: 25.12 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:42:03.828227 Humidity: 24.5 %rH, Temperature: 25.1 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:43:05.933096 Humidity: 24.5 %rH, Temperature: 25.1 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
2022-02-10 16:44:08.540601 Humidity: 24.5 %rH, Temperature: 25.1 *C, Radon STA: 93 Bq/m3, Radon LTA: 93 Bq/m3
